timestamp,visual pose reference
31000,"[[     187.87      221.72]
 [     190.26       216.9]
 [     169.36      225.22]
 [          0           0]
 [      156.3      262.53]
 [     222.38      273.27]
 [     196.28      286.54]
 [          0           0]
 [     236.42      272.84]
 [          0           0]
 [     253.15      273.46]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]]"
31500,"[[     182.47      222.55]
 [     193.25      220.86]
 [     169.21      219.67]
 [     208.99      243.87]
 [      152.4       243.6]
 [     212.41      272.89]
 [        159      265.07]
 [     228.02      275.37]
 [     167.97       251.5]
 [     253.54      276.45]
 [     192.33      249.05]
 [          0           0]
 [     163.82      307.45]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]]"
32000,"[[     182.15       227.9]
 [     187.49      222.73]
 [     176.54      224.34]
 [          0           0]
 [          0           0]
 [     209.57      235.47]
 [     160.55      238.58]
 [     231.05      254.74]
 [     145.03      255.63]
 [     226.81      271.95]
 [     144.63       265.8]
 [     214.09      267.18]
 [     181.33      269.66]
 [     225.89      248.25]
 [     184.72       250.4]
 [     233.05      268.53]
 [     192.85       270.8]]"
32500,"[[     182.16      227.91]
 [      187.5      222.74]
 [     176.54      224.34]
 [          0           0]
 [          0           0]
 [     209.58      235.48]
 [     160.55       238.6]
 [     231.07      254.74]
 [     145.03      255.64]
 [     226.81      271.96]
 [     144.63       265.8]
 [      214.1       267.2]
 [     181.33      269.68]
 [     225.93      248.26]
 [     184.72       250.4]
 [     233.06      268.53]
 [     192.82      270.79]]"
33000,"[[     182.16      227.91]
 [      187.5      222.74]
 [     176.54      224.34]
 [          0           0]
 [          0           0]
 [     209.58      235.49]
 [     160.55      238.61]
 [     231.07      254.74]
 [     145.03      255.64]
 [     226.81      271.96]
 [     144.63       265.8]
 [      214.1       267.2]
 [     181.33      269.68]
 [     225.93      248.26]
 [     184.72       250.4]
 [     233.06      268.53]
 [     192.81      270.79]]"
33500,[]
34000,[]
34500,"[[     183.09      223.05]
 [     193.46      220.49]
 [      170.3      220.21]
 [     210.29      241.79]
 [     155.28      243.32]
 [      214.7      272.16]
 [     156.52      263.65]
 [     224.34      273.86]
 [     153.68      251.58]
 [     249.23      275.74]
 [     182.55      242.03]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]]"
35000,"[[     183.69      221.64]
 [     190.34      218.31]
 [      169.5       221.5]
 [     204.84      236.93]
 [     153.99      247.24]
 [     213.19      262.94]
 [     162.44      264.59]
 [     225.14      269.09]
 [     185.04      263.44]
 [     246.88      273.39]
 [     240.82      266.59]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]
 [          0           0]]"
35500,"[[     179.66      227.18]
 [     185.22      221.56]
 [     173.22      223.69]
 [          0           0]
 [          0           0]
 [     208.59         236]
 [     158.82      243.04]
 [     231.97      255.47]
 [     142.98       262.3]
 [     226.25      272.64]
 [     147.49      261.32]
 [     217.07      270.64]
 [     183.37      274.91]
 [     230.14      247.16]
 [     185.39      251.92]
 [      237.2      268.38]
 [     188.78      271.29]]"
36000,"[[     179.54      227.12]
 [     185.21      221.34]
 [     172.99      223.63]
 [          0           0]
 [          0           0]
 [      209.2      235.85]
 [     158.48      243.76]
 [     232.81      256.12]
 [     141.74      264.18]
 [     226.14       272.5]
 [     147.72      260.02]
 [     217.68      270.36]
 [      183.3      275.01]
 [     231.39      246.52]
 [     185.74      251.88]
 [      238.3      268.21]
 [        188      271.37]]"
